1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 render_samples->glfwSwapBuffers(0x593fa78e9490, 0x412f7118, 0, 0x593fa7f61760) = 0
1498527 +++ exited (status 0) +++
